"Ticker","Currency","lags","RSquare","Estimate","dt"
"RSTAMOM Index","AUDUSD",1,0.00975939144190643,-0.00106897903903101,-0.0976084919811765
"RSTAXMOM Index","AUDUSD",1,0.0069981553581613,-0.00114821876438626,-0.0837831457043171
"RSTAXAG% Index","AUDUSD",1,0.00396885061482085,-0.000903660299772472,-0.0636532047163389
"RSTAXAGM Index","AUDUSD",1,0.0382988114000462,-0.00274774027152892,-0.196409100433102
"FDIDFDMO Index","AUDUSD",1,0.000742318520749633,-0.000514393220120243,-0.0315224878953182
"FDIDSGMO Index","AUDUSD",1,0.0116533375995305,-0.00231546124052085,-0.111460845357905
"FDIDSGUM Index","AUDUSD",1,0.0239187244156525,-0.00589002872270928,-0.174264489425627
"FDIUFDYO Index","AUDUSD",1,0.0141173428002626,-0.0024205589735591,-0.124507652274448
"FDIUSGYO Index","AUDUSD",1,0.0142835320350561,-0.00305634021809962,-0.119569718716487
"FDIUSGUY Index","AUDUSD",1,0.0164701458084875,-0.00588239005722798,-0.133684270834765
"EMPRGBCI Index","AUDUSD",1,0.000958538886716693,2.63528208959631e-05,0.0311362867186016
"IP CHNG Index","AUDUSD",1,0.0469509614730331,-0.00196422775110079,-0.217205480962004
"CPTICHNG Index","AUDUSD",1,0.00330316497406025,-0.000827583450296895,-0.046983138747157
"IPMGCHNG Index","AUDUSD",1,0.0011915958009263,-0.000346213902855989,-0.0359009512984877
"MTIBCHNG Index","AUDUSD",1,0.00051599119112998,-0.000545656014586514,-0.0218958407818898
"CONSSENT Index","AUDUSD",1,0.033659399185976,-0.000414419828299623,-0.191930934114969
"CONSCURR Index","AUDUSD",1,0.0556643770891082,-0.000752360496477248,-0.241368704317822
"CONSEXP Index","AUDUSD",1,0.00524974734337753,-0.000181928151651606,-0.0673407164662053
"CONSPXMD Index","AUDUSD",1,0.0509629143130614,0.0115276893624284,0.222464186465196
"CONSP5MD Index","AUDUSD",1,0.0343928656583646,0.0109757238707725,0.196385018161781
"USHBMIDX Index","AUDUSD",1,0.0319634723263911,-0.000442845601777438,-0.196019968990519
"FRNTTNET Index","AUDUSD",1,0.0297344083207001,8.42428646504529e-06,0.174429618003682
"FRNTTOTL Index","AUDUSD",1,0.0535043160412394,2.97263541673034e-05,0.232663879795137
"NHSPSTOT Index","AUDUSD",1,0.00745062698691126,-6.5555764530553e-06,-0.096583813366705
"NHCHSTCH Index","AUDUSD",1,0.0386519118107608,-9.19681023317828e-05,-0.197471932769338
"NHSPATOT Index","AUDUSD",1,0.000287175447719779,2.04395422731911e-06,0.00156837549364543
"NHCHATCH Index","AUDUSD",1,0.00144379939567401,-3.07801596438158e-05,-0.0381047826455893
"CPI CHNG Index","AUDUSD",1,0.00886780168055801,-0.00238731456919221,-0.0958140706847223
"CPUPXCHG Index","AUDUSD",1,0.0142356535833602,-0.00924647105528824,-0.123513446416965
"CPI YOY Index","AUDUSD",1,0.0222877569114559,-0.00357930061296323,-0.147938033958869
"CPI XYOY Index","AUDUSD",1,0.0122141731193083,0.00895973998658346,0.109281504365672
"CPURNSA Index","AUDUSD",1,0.00196338689219017,-0.000426364271836359,-0.0819137932395554
"CPUPAXFE Index","AUDUSD",1,0.0160780766432853,0.00229890239965379,0.08351525629027
"REALYRAE Index","AUDUSD",1,0.0615204017849151,-0.00583897500111993,-0.206615978664051
"OUTFGAF Index","AUDUSD",1,0.051274238929139,-0.000179840851507116,-0.231250160457548
"COMFBTWR Index","AUDUSD",1,0.00230666917420479,-4.41645472216319e-05,-0.0562735661846565
"CFNAI Index","AUDUSD",1,0.0252764892477409,-0.00270683417857838,-0.15997237067359
"ETSLTOTL Index","AUDUSD",1,0.0151466759614753,-0.00454160859257177,-0.13342701672077
"ETSLMOM Index","AUDUSD",1,0.000607977487137032,2.94905646148501e-05,0.0236523709349755
"LEI CHNG Index","AUDUSD",1,0.00155413452516465,0.000685816529297803,0.0400224276552886
"DFEDGBA Index","AUDUSD",1,5.14313265335823e-05,6.69700051986699e-06,0.00626112615792355
"HPIMMOM% Index","AUDUSD",1,2.02651712567394e-05,-8.48515771921881e-05,-0.00486992760226035
"SPCSUSQS Index","AUDUSD",1,0.0821849658764246,0.0149609856521671,0.2859547320398
"SPCS20 Index","AUDUSD",1,0.00570173551339211,-0.000380986248202822,-0.17515779244515
"SPCS20SM Index","AUDUSD",1,0.0125676347878191,0.00267219340063801,0.10910776752732
"SPCS20Y% Index","AUDUSD",1,0.00182344382642495,-0.000453439554118194,-0.0623587776012645
"SPCSUSA Index","AUDUSD",1,0.00670650064151835,0.000705289969393942,-0.00908813835286688
"SPCSUSAY Index","AUDUSD",1,0.0163406638274669,0.00528911289653191,0.138111889558259
